List Size,Algorithm,Runtime (ms)
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,2
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,5
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,2
500000,LazySelect,2
500000,QuickSelect,2
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,4
500000,QuickSelect,2
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,2
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,2
500000,LazySelect,3
500000,QuickSelect,5
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,5
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,1
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,4
500000,QuickSelect,3
500000,LazySelect,4
500000,QuickSelect,5
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,2
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,2
500000,LazySelect,3
500000,QuickSelect,2
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,2
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,4
500000,QuickSelect,5
500000,LazySelect,5
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,2
500000,LazySelect,3
500000,QuickSelect,2
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,5
500000,LazySelect,4
500000,QuickSelect,3
500000,LazySelect,2
500000,QuickSelect,5
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,2
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,1
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,5
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,5
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,5
500000,QuickSelect,3
500000,LazySelect,4
500000,QuickSelect,2
500000,LazySelect,4
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,2
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,5
500000,LazySelect,4
500000,QuickSelect,3
500000,LazySelect,4
500000,QuickSelect,3
500000,LazySelect,3
500000,QuickSelect,6
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,4
500000,QuickSelect,5
500000,LazySelect,3
500000,QuickSelect,3
500000,LazySelect,4
500000,QuickSelect,4
500000,LazySelect,3
500000,QuickSelect,2
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,4
500000,QuickSelect,2
500000,LazySelect,3
500000,QuickSelect,4
500000,LazySelect,4
