List Size,Algorithm,Comparisons
5000,QuickSelect,13694
5000,LazySelect,26121
5000,QuickSelect,17988
5000,LazySelect,27523
5000,QuickSelect,11293
5000,LazySelect,31452
5000,QuickSelect,13263
5000,LazySelect,26522
5000,QuickSelect,19437
5000,LazySelect,27521
5000,QuickSelect,21644
5000,LazySelect,24346
5000,QuickSelect,6171
5000,LazySelect,19648
5000,QuickSelect,22575
5000,LazySelect,27424
5000,QuickSelect,13717
5000,LazySelect,28061
5000,QuickSelect,13769
5000,LazySelect,26411
5000,QuickSelect,15227
5000,LazySelect,28597
5000,QuickSelect,6363
5000,LazySelect,20490
5000,QuickSelect,14735
5000,LazySelect,28069
5000,QuickSelect,12510
5000,LazySelect,27948
5000,QuickSelect,21058
5000,LazySelect,26355
5000,QuickSelect,20896
5000,LazySelect,25738
5000,QuickSelect,14151
5000,LazySelect,24539
5000,QuickSelect,10629
5000,LazySelect,26565
5000,QuickSelect,11238
5000,LazySelect,28185
5000,QuickSelect,11812
5000,LazySelect,28530
5000,QuickSelect,16545
5000,LazySelect,27527
5000,QuickSelect,8324
5000,LazySelect,27904
5000,QuickSelect,25624
5000,LazySelect,25202
5000,QuickSelect,18721
5000,LazySelect,25351
5000,QuickSelect,28668
5000,LazySelect,27505
5000,QuickSelect,21836
5000,LazySelect,27582
5000,QuickSelect,16411
5000,LazySelect,27163
5000,QuickSelect,14717
5000,LazySelect,26147
5000,QuickSelect,6651
5000,LazySelect,25192
5000,QuickSelect,20772
5000,LazySelect,28717
5000,QuickSelect,19563
5000,LazySelect,26449
5000,QuickSelect,26713
5000,LazySelect,26377
5000,QuickSelect,12670
5000,LazySelect,20939
5000,QuickSelect,10656
5000,LazySelect,27677
5000,QuickSelect,18301
5000,LazySelect,26413
5000,QuickSelect,13164
5000,LazySelect,27216
5000,QuickSelect,11194
5000,LazySelect,26933
5000,QuickSelect,17267
5000,LazySelect,25338
5000,QuickSelect,12073
5000,LazySelect,22948
5000,QuickSelect,14233
5000,LazySelect,28428
5000,QuickSelect,12543
5000,LazySelect,27112
5000,QuickSelect,15566
5000,LazySelect,25463
5000,QuickSelect,10267
5000,LazySelect,25368
5000,QuickSelect,18768
5000,LazySelect,28605
5000,QuickSelect,15415
5000,LazySelect,24229
5000,QuickSelect,19871
5000,LazySelect,25347
5000,QuickSelect,12830
5000,LazySelect,27416
5000,QuickSelect,27226
5000,LazySelect,24025
5000,QuickSelect,19054
5000,LazySelect,25619
5000,QuickSelect,14737
5000,LazySelect,27585
5000,QuickSelect,13205
5000,LazySelect,26685
5000,QuickSelect,15310
5000,LazySelect,27079
5000,QuickSelect,21507
5000,LazySelect,28364
5000,QuickSelect,16797
5000,LazySelect,26501
5000,QuickSelect,18093
5000,LazySelect,27694
5000,QuickSelect,7374
5000,LazySelect,17248
5000,QuickSelect,10514
5000,LazySelect,26139
5000,QuickSelect,22340
5000,LazySelect,24884
5000,QuickSelect,19326
5000,LazySelect,25394
5000,QuickSelect,23097
5000,LazySelect,26490
5000,QuickSelect,12033
5000,LazySelect,22180
5000,QuickSelect,8690
5000,LazySelect,28631
5000,QuickSelect,25932
5000,LazySelect,26781
5000,QuickSelect,19489
5000,LazySelect,26400
5000,QuickSelect,10958
5000,LazySelect,29569
5000,QuickSelect,22217
5000,LazySelect,28457
5000,QuickSelect,7251
5000,LazySelect,24536
5000,QuickSelect,21460
5000,LazySelect,27432
5000,QuickSelect,13637
5000,LazySelect,28138
5000,QuickSelect,9215
5000,LazySelect,27602
5000,QuickSelect,15695
5000,LazySelect,27138
5000,QuickSelect,7467
5000,LazySelect,23210
5000,QuickSelect,23758
5000,LazySelect,24640
5000,QuickSelect,15826
5000,LazySelect,20458
5000,QuickSelect,15268
5000,LazySelect,25465
5000,QuickSelect,13731
5000,LazySelect,26936
5000,QuickSelect,24500
5000,LazySelect,23771
5000,QuickSelect,16925
5000,LazySelect,26849
5000,QuickSelect,8765
5000,LazySelect,25919
5000,QuickSelect,12712
5000,LazySelect,25718
5000,QuickSelect,13968
5000,LazySelect,26964
5000,QuickSelect,6162
5000,LazySelect,22077
5000,QuickSelect,12452
5000,LazySelect,28103
5000,QuickSelect,15898
5000,LazySelect,27481
5000,QuickSelect,14951
5000,LazySelect,28429
5000,QuickSelect,10357
5000,LazySelect,24461
5000,QuickSelect,8791
5000,LazySelect,24097
5000,QuickSelect,14704
5000,LazySelect,24861
5000,QuickSelect,11358
5000,LazySelect,22781
5000,QuickSelect,23441
5000,LazySelect,26403
5000,QuickSelect,15994
5000,LazySelect,25899
5000,QuickSelect,16864
5000,LazySelect,26584
5000,QuickSelect,19302
5000,LazySelect,26121
5000,QuickSelect,21274
5000,LazySelect,26788
5000,QuickSelect,21563
5000,LazySelect,26325
5000,QuickSelect,11790
5000,LazySelect,26320
5000,QuickSelect,18321
5000,LazySelect,26416
5000,QuickSelect,5786
5000,LazySelect,18032
5000,QuickSelect,15095
5000,LazySelect,24266
5000,QuickSelect,13507
5000,LazySelect,26128
10000,QuickSelect,33210
10000,LazySelect,50373
10000,QuickSelect,39259
10000,LazySelect,49900
10000,QuickSelect,26817
10000,LazySelect,40433
10000,QuickSelect,32977
10000,LazySelect,46446
10000,QuickSelect,27555
