List Size,Algorithm,Comparisons
500000,QuickSelect,1331946
500000,LazySelect,1824891
500000,QuickSelect,826618
500000,LazySelect,1825391
500000,QuickSelect,1319723
500000,LazySelect,1498535
500000,QuickSelect,1502671
500000,LazySelect,1658092
500000,QuickSelect,2080588
500000,LazySelect,1643639
500000,QuickSelect,1133832
500000,LazySelect,1851198
500000,QuickSelect,2368324
500000,LazySelect,1815542
500000,QuickSelect,1396161
500000,LazySelect,1840509
500000,QuickSelect,1087871
500000,LazySelect,1495496
500000,QuickSelect,835906
500000,LazySelect,1680229
500000,QuickSelect,773449
500000,LazySelect,1899356
500000,QuickSelect,1296326
500000,LazySelect,1789520
500000,QuickSelect,2113701
500000,LazySelect,1562096
500000,QuickSelect,1423642
500000,LazySelect,1785953
500000,QuickSelect,1080100
500000,LazySelect,1578309
500000,QuickSelect,844524
500000,LazySelect,1652085
500000,QuickSelect,1481609
500000,LazySelect,1668642
500000,QuickSelect,1245974
500000,LazySelect,1874185
500000,QuickSelect,1504576
500000,LazySelect,1427962
500000,QuickSelect,712453
500000,LazySelect,1469202
500000,QuickSelect,2563522
500000,LazySelect,1789712
500000,QuickSelect,1426706
500000,LazySelect,1823775
500000,QuickSelect,1183258
500000,LazySelect,1515465
500000,QuickSelect,1114310
500000,LazySelect,1631067
500000,QuickSelect,1900318
500000,LazySelect,1660855
500000,QuickSelect,1608186
500000,LazySelect,1705064
500000,QuickSelect,1671820
500000,LazySelect,1519864
500000,QuickSelect,1951947
500000,LazySelect,1820308
500000,QuickSelect,813299
500000,LazySelect,1454308
500000,QuickSelect,1993214
500000,LazySelect,1738025
500000,QuickSelect,1562601
500000,LazySelect,1655209
500000,QuickSelect,1776234
500000,LazySelect,1543748
500000,QuickSelect,2324081
500000,LazySelect,1595378
500000,QuickSelect,1586865
500000,LazySelect,1663258
500000,QuickSelect,1293994
500000,LazySelect,1552987
500000,QuickSelect,2084889
500000,LazySelect,1714737
500000,QuickSelect,1663082
500000,LazySelect,1788733
500000,QuickSelect,1479601
500000,LazySelect,1522994
500000,QuickSelect,1150063
500000,LazySelect,1487939
500000,QuickSelect,1214465
500000,LazySelect,1561215
500000,QuickSelect,1779282
500000,LazySelect,1604216
500000,QuickSelect,819623
500000,LazySelect,1462459
500000,QuickSelect,1700421
500000,LazySelect,1852545
500000,QuickSelect,1228282
500000,LazySelect,1544187
500000,QuickSelect,2504466
500000,LazySelect,1708405
500000,QuickSelect,2116427
500000,LazySelect,1742711
500000,QuickSelect,1047696
500000,LazySelect,1844008
500000,QuickSelect,1360786
500000,LazySelect,1849000
500000,QuickSelect,772256
500000,LazySelect,1796442
500000,QuickSelect,1330750
500000,LazySelect,1430231
500000,QuickSelect,1661832
500000,LazySelect,1805770
500000,QuickSelect,1168666
500000,LazySelect,1659737
500000,QuickSelect,2366209
500000,LazySelect,1677235
500000,QuickSelect,2058154
500000,LazySelect,1230566
500000,QuickSelect,1694842
500000,LazySelect,1781473
500000,QuickSelect,747968
500000,LazySelect,1774362
500000,QuickSelect,1350554
500000,LazySelect,1867445
500000,QuickSelect,1540208
500000,LazySelect,1480456
500000,QuickSelect,1442485
500000,LazySelect,1657709
500000,QuickSelect,2080080
500000,LazySelect,1586646
500000,QuickSelect,1418069
500000,LazySelect,1597533
500000,QuickSelect,2268391
500000,LazySelect,1608063
500000,QuickSelect,1478666
500000,LazySelect,1723886
500000,QuickSelect,1869854
500000,LazySelect,1852525
500000,QuickSelect,1545352
500000,LazySelect,1760703
500000,QuickSelect,1368359
500000,LazySelect,1419032
500000,QuickSelect,1701947
500000,LazySelect,1744058
500000,QuickSelect,1693399
500000,LazySelect,1690738
500000,QuickSelect,2026393
500000,LazySelect,1456402
500000,QuickSelect,1630123
500000,LazySelect,1683386
500000,QuickSelect,984058
500000,LazySelect,1666646
500000,QuickSelect,1014319
500000,LazySelect,1768596
500000,QuickSelect,929427
500000,LazySelect,1745646
500000,QuickSelect,1621944
500000,LazySelect,1895660
500000,QuickSelect,1163359
500000,LazySelect,1455042
500000,QuickSelect,1505571
500000,LazySelect,1495443
500000,QuickSelect,2431172
500000,LazySelect,1621167
500000,QuickSelect,1101746
500000,LazySelect,1621345
500000,QuickSelect,1170983
500000,LazySelect,1831537
500000,QuickSelect,2889909
500000,LazySelect,1618548
500000,QuickSelect,2101957
500000,LazySelect,1832687
500000,QuickSelect,1326557
500000,LazySelect,1695794
500000,QuickSelect,2327423
500000,LazySelect,1693542
500000,QuickSelect,1237925
500000,LazySelect,1675030
500000,QuickSelect,1973536
500000,LazySelect,1751364
500000,QuickSelect,840955
500000,LazySelect,1430719
500000,QuickSelect,1921935
500000,LazySelect,1581220
500000,QuickSelect,1229376
500000,LazySelect,1769583
500000,QuickSelect,2022086
500000,LazySelect,1570185
500000,QuickSelect,1300366
500000,LazySelect,1461607
500000,QuickSelect,1290425
500000,LazySelect,1726354
500000,QuickSelect,1121418
500000,LazySelect,1627261
500000,QuickSelect,1365858
500000,LazySelect,1452242
500000,QuickSelect,2255003
500000,LazySelect,1557686
500000,QuickSelect,1500684
500000,LazySelect,1866192
500000,QuickSelect,2037413
500000,LazySelect,1480667
500000,QuickSelect,1432207
500000,LazySelect,1803480
500000,QuickSelect,1155853
500000,LazySelect,1455618
500000,QuickSelect,1316917
500000,LazySelect,1742114
500000,QuickSelect,1171018
500000,LazySelect,1698078
1000000,QuickSelect,2538379
1000000,LazySelect,2924118
1000000,QuickSelect,2357921
1000000,LazySelect,2976843
1000000,QuickSelect,3438345
1000000,LazySelect,3512168
1000000,QuickSelect,2920107
1000000,LazySelect,2997410
1000000,QuickSelect,1512437
1000000,LazySelect,2668041
1000000,QuickSelect,4491844
1000000,LazySelect,3182781
1000000,QuickSelect,3004965
1000000,LazySelect,2891447
1000000,QuickSelect,3353021
1000000,LazySelect,2763364
1000000,QuickSelect,3507849
1000000,LazySelect,2710306
1000000,QuickSelect,2377556
1000000,LazySelect,3028466
1000000,QuickSelect,5251434
1000000,LazySelect,3108016
1000000,QuickSelect,2174028
1000000,LazySelect,3429356
1000000,QuickSelect,2921615
1000000,LazySelect,2799444
1000000,QuickSelect,3340860
1000000,LazySelect,2941549
1000000,QuickSelect,2617997
1000000,LazySelect,3245448
1000000,QuickSelect,1868112
1000000,LazySelect,2841342
1000000,QuickSelect,2110056
1000000,LazySelect,2778168
1000000,QuickSelect,1754951
1000000,LazySelect,2705551
1000000,QuickSelect,2848175
1000000,LazySelect,2968383
1000000,QuickSelect,2717806
1000000,LazySelect,2728076
1000000,QuickSelect,2446264
1000000,LazySelect,3065377
1000000,QuickSelect,2680357
1000000,LazySelect,3112321
1000000,QuickSelect,3750524
1000000,LazySelect,2952953
1000000,QuickSelect,1076027
1000000,LazySelect,3160639
1000000,QuickSelect,3285363
1000000,LazySelect,2955096
1000000,QuickSelect,1978603
1000000,LazySelect,3462623
1000000,QuickSelect,3338587
1000000,LazySelect,2829676
1000000,QuickSelect,3477044
1000000,LazySelect,3056573
1000000,QuickSelect,1389948
1000000,LazySelect,2893764
1000000,QuickSelect,1974956
1000000,LazySelect,3473117
1000000,QuickSelect,4458699
1000000,LazySelect,2893410
1000000,QuickSelect,2558757
1000000,LazySelect,3381950
1000000,QuickSelect,6176442
1000000,LazySelect,3109313
1000000,QuickSelect,2618760
1000000,LazySelect,3273024
1000000,QuickSelect,3241777
1000000,LazySelect,3269611
1000000,QuickSelect,3185995
1000000,LazySelect,2930364
1000000,QuickSelect,3517858
1000000,LazySelect,2753265
1000000,QuickSelect,2063406
1000000,LazySelect,2803739
1000000,QuickSelect,2626167
1000000,LazySelect,3030740
1000000,QuickSelect,2106520
1000000,LazySelect,2805797
1000000,QuickSelect,3087049
1000000,LazySelect,2872725
1000000,QuickSelect,2803713
1000000,LazySelect,3036407
1000000,QuickSelect,3164376
1000000,LazySelect,2672760
1000000,QuickSelect,2968949
1000000,LazySelect,3216495
1000000,QuickSelect,3393734
1000000,LazySelect,3057171
1000000,QuickSelect,1120798
1000000,LazySelect,3045059
1000000,QuickSelect,1607116
1000000,LazySelect,2725162
1000000,QuickSelect,2611504
1000000,LazySelect,2830261
1000000,QuickSelect,3532809
1000000,LazySelect,3330918
1000000,QuickSelect,3276930
1000000,LazySelect,3522618
1000000,QuickSelect,2987478
1000000,LazySelect,3331101
1000000,QuickSelect,5271445
1000000,LazySelect,3087495
1000000,QuickSelect,3026556
1000000,LazySelect,2660583
1000000,QuickSelect,1486550
1000000,LazySelect,3574324
1000000,QuickSelect,4039015
1000000,LazySelect,3369623
1000000,QuickSelect,3062676
1000000,LazySelect,3073841
1000000,QuickSelect,1315981
1000000,LazySelect,2688267
1000000,QuickSelect,3214642
1000000,LazySelect,2057010
1000000,QuickSelect,1347709
1000000,LazySelect,3053779
1000000,QuickSelect,2632491
1000000,LazySelect,3569886
1000000,QuickSelect,5213621
1000000,LazySelect,2457396
1000000,QuickSelect,2800615
1000000,LazySelect,2633914
1000000,QuickSelect,1640092
1000000,LazySelect,3395987
1000000,QuickSelect,3284539
1000000,LazySelect,3537587
1000000,QuickSelect,3197501
1000000,LazySelect,2776593
1000000,QuickSelect,2259137
1000000,LazySelect,3532536
1000000,QuickSelect,2089807
1000000,LazySelect,3503888
1000000,QuickSelect,2879779
1000000,LazySelect,3354511
1000000,QuickSelect,3284636
1000000,LazySelect,2877003
1000000,QuickSelect,4240941
1000000,LazySelect,2738862
1000000,QuickSelect,3861790
1000000,LazySelect,3295026
1000000,QuickSelect,5622111
1000000,LazySelect,2786267
1000000,QuickSelect,2099083
1000000,LazySelect,3251312
1000000,QuickSelect,2543142
1000000,LazySelect,3413287
1000000,QuickSelect,2669882
1000000,LazySelect,2999744
1000000,QuickSelect,3399604
1000000,LazySelect,3005716
1000000,QuickSelect,1371333
1000000,LazySelect,2594312
1000000,QuickSelect,2551445
1000000,LazySelect,3368728
1000000,QuickSelect,1601865
1000000,LazySelect,3582224
1000000,QuickSelect,1596044
1000000,LazySelect,2791820
1000000,QuickSelect,3302174
1000000,LazySelect,2711229
1000000,QuickSelect,2864390
1000000,LazySelect,3053018
1000000,QuickSelect,2930409
1000000,LazySelect,3365908
1000000,QuickSelect,2379222
1000000,LazySelect,2688337
1000000,QuickSelect,1787591
1000000,LazySelect,3424748
1000000,QuickSelect,2173435
1000000,LazySelect,2799309
1000000,QuickSelect,4704949
1000000,LazySelect,3053064
1000000,QuickSelect,2887217
1000000,LazySelect,3160225
1000000,QuickSelect,2875410
1000000,LazySelect,3490721
1000000,QuickSelect,2377070
1000000,LazySelect,3144227
1000000,QuickSelect,3404816
1000000,LazySelect,2740031
1000000,QuickSelect,3756575
1000000,LazySelect,3068901
1000000,QuickSelect,3411147
1000000,LazySelect,2954033
1000000,QuickSelect,4009184
1000000,LazySelect,2971282
1000000,QuickSelect,2869616
1000000,LazySelect,3328581
1000000,QuickSelect,3092133
1000000,LazySelect,3065968
1000000,QuickSelect,2578176
1000000,LazySelect,3236171
1000000,QuickSelect,2923343
1000000,LazySelect,3059877
1000000,QuickSelect,3934182
1000000,LazySelect,3201760
1000000,QuickSelect,3090093
1000000,LazySelect,3274455
1500000,QuickSelect,3835440
1500000,LazySelect,3788082
1500000,QuickSelect,1736198
1500000,LazySelect,5080200
1500000,QuickSelect,3671722
1500000,LazySelect,4084261
1500000,QuickSelect,5619290
1500000,LazySelect,4888198
1500000,QuickSelect,4466584
1500000,LazySelect,4924794
