List Size,Algorithm,Runtime (ms)
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
50000,QuickSelect,0
50000,LazySelect,0
